"ndvi","evi","doy","site","veg"
NA,NA,200.4659375,"FP8","fp"
NA,NA,200.4659375,"FP9","fp"
NA,NA,200.4659375,"FP10","fp"
0.6442911028862,0.27004286646843,206.466585648148,"ForestShrub2","fs"
0.682613015174866,0.292338997125626,206.466585648148,"ForestShrub1","fs"
0.665068686008453,0.286299973726273,206.466585648148,"Shrub1","s"
0.608927369117737,0.243642374873161,206.466585648148,"Shrub2","s"
0.583389163017273,0.229047775268555,206.466585648148,"Shrub3","s"
0.678477704524994,0.290686219930649,206.466585648148,"Shrub4","s"
NA,NA,206.466585648148,"Shrub5","s"
NA,NA,206.466585648148,"Shrub6","s"
0.653093934059143,0.276480793952942,206.466585648148,"Shrub7","s"
0.653145968914032,0.278027027845383,206.466585648148,"Shrub8","s"
0.687697172164917,0.302525669336319,206.466585648148,"Shrub9","s"
0.657987773418427,0.277393817901611,206.466585648148,"Shrub10","s"
0.621943175792694,0.252130120992661,206.466585648148,"Shrub11","s"
0.641042768955231,0.261350631713867,206.466585648148,"Shrub13","s"
0.639133393764496,0.25989043712616,206.466585648148,"Shrub14","s"
0.674146354198456,0.288236916065216,206.466585648148,"Shrub15","s"
NA,NA,206.466585648148,"Forest1","f"
NA,NA,206.466585648148,"Forest2","f"
NA,NA,206.466585648148,"Forest3","f"
0.567358791828156,0.17649532854557,206.466585648148,"Forest4","f"
0.588235318660736,0.194290831685066,206.466585648148,"Forest5","f"
0.556701004505157,0.166769608855247,206.466585648148,"Forest6","f"
0.598200917243958,0.185915753245354,206.466585648148,"Forest7","f"
0.592702150344849,0.18591845035553,206.466585648148,"Forest8","f"
0.6279296875,0.199807345867157,206.466585648148,"Forest9","f"
0.580234825611115,0.181439891457558,206.466585648148,"Forest10","f"
0.572488844394684,0.176119580864906,206.466585648148,"Forest11","f"
NA,NA,206.466585648148,"Forest12","f"
NA,NA,206.466585648148,"Forest13","f"
NA,NA,206.466585648148,"Forest14","f"
0.655430734157562,0.236728191375732,206.466585648148,"Forest15","f"
0.728402733802795,0.33055055141449,206.466585648148,"FP1","fp"
0.748786389827728,0.350249767303467,206.466585648148,"FP2","fp"
0.725707232952118,0.329802393913269,206.466585648148,"FP3","fp"
0.743913412094116,0.350924462080002,206.466585648148,"FP4","fp"
0.737660586833954,0.32148751616478,206.466585648148,"FP5","fp"
0.576404988765717,0.182925030589104,206.466585648148,"FP6","fp"
0.706029236316681,0.293219923973083,206.466585648148,"FP7","fp"
0.714028239250183,0.328969210386276,206.466585648148,"FP8","fp"
0.770750999450684,0.368159651756287,206.466585648148,"FP9","fp"
0.752971887588501,0.364307165145874,206.466585648148,"FP10","fp"
0.554406821727753,0.232909142971039,208.467939814815,"ForestShrub2","fs"
0.602305471897125,0.24952244758606,208.467939814815,"ForestShrub1","fs"
0.595107972621918,0.2615747153759,208.467939814815,"Shrub1","s"
0.415869981050491,0.116860091686249,208.467939814815,"Shrub2","s"
0.53502482175827,0.216001957654953,208.467939814815,"Shrub3","s"
0.57662832736969,0.224047243595123,208.467939814815,"Shrub4","s"
0.596093058586121,0.246483892202377,208.467939814815,"Shrub5","s"
